State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,227.6,245.8,253.0,278.1,244.2,283.0,311.8,285.2,283.4,328.3,388.2,71%
Alaska,AK,516.4,492.0,489.6,462.7,475.8,464.6,433.2,425.5,440.2,497.1,540.6,5%
Arizona,AZ,312.7,294.3,265.9,248.1,259.3,254.8,276.0,263.9,252.1,267.1,315.4,1%
Arkansas,AR,399.4,371.2,353.1,374.8,374.3,351.5,342.3,330.5,346.0,380.0,401.0,0%
California,CA,305.7,298.8,285.0,269.7,257.4,242.0,248.9,232.3,236.6,253.8,265.9,-13%
Colorado,CO,264.0,232.5,229.3,222.3,212.4,208.1,199.6,189.1,192.8,197.2,211.1,-20%
Connecticut,CT,138.6,131.2,163.5,163.7,162.0,147.3,150.6,135.4,125.0,113.1,128.0,-8%
Delaware,DE,426.5,448.8,444.4,405.0,377.1,353.5,352.0,313.7,306.4,325.7,327.8,-23%
Florida,FL,481.2,473.2,452.0,410.6,369.8,348.0,330.9,312.3,366.4,315.2,290.2,-40%
Georgia,GA,275.8,281.2,270.5,248.3,248.2,222.9,226.0,209.3,218.4,220.8,238.5,-14%
Hawaii,HI,163.0,159.6,158.1,163.0,156.7,178.6,141.9,142.2,148.1,168.9,193.8,19%
Idaho,ID,184.2,182.0,175.1,175.4,172.6,159.6,160.9,161.0,160.5,160.1,172.0,-7%
Illinois,IL,318.4,315.7,300.9,283.4,249.7,237.5,230.0,204.0,213.7,224.6,250.5,-21%
Indiana,IN,165.2,176.4,183.5,188.4,186.9,193.0,214.6,211.3,222.6,238.2,249.9,51%
Iowa,IA,210.4,219.2,210.1,210.0,211.6,199.9,202.8,204.6,201.6,213.2,212.0,1%
Kansas,KS,307.7,331.8,304.0,293.6,272.7,261.5,263.2,248.1,250.0,267.6,274.0,-11%
Kentucky,KY,142.0,161.7,164.8,135.4,120.1,116.7,108.4,95.5,99.8,105.5,113.5,-20%
Louisiana,LA,515.4,541.2,480.4,442.0,395.6,401.9,342.0,352.8,352.4,373.7,396.4,-23%
Maine,ME,59.0,60.2,61.4,59.0,59.8,63.8,61.0,68.7,66.9,69.3,71.3,21%
Maryland,MD,392.0,375.1,365.1,351.3,327.5,289.3,277.2,272.0,253.2,256.7,263.8,-33%
Massachusetts,MA,292.1,294.7,310.9,316.0,331.8,298.1,280.4,270.5,267.6,280.7,265.0,-9%
Michigan,MI,362.4,350.7,321.5,321.7,321.0,289.9,295.5,274.8,277.7,266.2,309.5,-15%
Minnesota,MN,172.6,158.6,146.1,139.8,136.4,125.4,134.0,127.5,123.3,129.2,130.7,-24%
Mississippi,MS,149.5,150.3,143.9,142.6,137.8,149.1,149.4,156.5,153.4,150.3,149.6,0%
Missouri,MO,379.3,347.3,344.4,334.1,321.7,312.7,323.4,298.7,304.8,342.4,360.8,-5%
Montana,MT,206.1,235.8,207.6,198.5,221.2,212.0,212.8,190.2,247.4,272.8,283.9,38%
Nebraska,NE,184.1,206.5,194.3,178.4,183.6,157.7,157.4,160.5,176.2,173.1,186.7,1%
Nevada,NV,407.8,430.2,426.9,429.8,422.9,365.6,391.1,360.6,372.1,413.9,395.9,-3%
New Hampshire,NH,79.4,78.0,94.7,94.3,100.4,118.2,117.0,112.7,110.0,116.0,120.7,52%
New Jersey,NJ,179.4,168.3,163.0,162.2,157.9,154.3,145.7,135.6,125.6,127.4,124.2,-31%
New Mexico,NM,472.8,485.8,475.9,464.7,457.1,436.2,419.1,449.9,421.8,451.2,491.0,4%
