State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,8.3,8.9,7.6,6.9,5.7,6.3,7.1,7.2,5.7,7.2,8.4,1%
Alaska,AK,5.4,6.4,4.1,3.1,4.4,4.0,4.1,4.6,5.6,8.0,7.0,30%
Arizona,AZ,7.5,7.4,6.3,5.4,6.4,6.2,5.5,5.4,4.7,4.5,5.5,-27%
Arkansas,AR,7.3,6.7,5.7,6.2,4.7,5.5,5.9,5.4,5.6,6.1,7.2,-1%
California,CA,6.8,6.2,5.8,5.3,4.9,4.8,5.0,4.6,4.4,4.8,4.9,-28%
Colorado,CO,3.3,3.1,3.2,3.5,2.4,2.9,3.1,3.4,2.8,3.2,3.7,12%
Connecticut,CT,3.1,3.0,3.5,3.0,3.6,3.6,4.1,2.4,2.4,3.3,2.2,-29%
Delaware,DE,4.9,4.3,6.5,4.6,5.3,4.5,6.2,4.2,5.8,6.7,5.9,20%
Florida,FL,6.2,6.6,6.4,5.5,5.2,5.2,5.2,5.0,5.8,5.1,5.4,-13%
Georgia,GA,6.4,7.5,6.6,5.8,5.8,5.6,5.9,5.6,5.7,6.0,6.6,3%
Hawaii,HI,1.6,1.7,1.9,1.7,1.8,1.2,2.1,1.5,1.8,1.3,2.5,56%
Idaho,ID,2.5,3.3,1.5,1.4,1.3,2.3,1.8,1.7,2.0,1.9,2.9,16%
Illinois,IL,6.1,5.9,6.1,6.0,5.5,5.6,5.8,5.5,5.3,5.8,8.2,34%
Indiana,IN,5.8,5.6,5.1,4.8,4.5,4.8,4.7,5.4,5.0,5.6,6.6,14%
Iowa,IA,1.8,1.2,2.5,1.1,1.3,1.5,1.5,1.4,1.9,2.3,2.3,28%
Kansas,KS,4.6,3.9,4.0,4.2,3.5,3.8,2.9,3.9,3.1,4.4,3.8,-17%
Kentucky,KY,4.0,4.8,4.6,4.1,4.3,3.5,4.5,3.8,3.6,4.7,5.9,48%
Louisiana,LA,12.4,14.2,11.9,11.8,11.2,11.2,10.8,10.8,10.3,10.3,11.8,-5%
Maine,ME,1.7,1.6,2.4,2.0,1.8,2.0,1.9,1.8,1.6,1.7,1.5,-12%
Maryland,MD,9.7,9.8,8.8,7.7,7.4,6.8,6.3,6.4,6.1,8.6,8.0,-18%
Massachusetts,MA,2.9,2.9,2.6,2.6,3.2,2.8,1.8,2.0,2.0,1.9,2.0,-31%
Michigan,MI,7.1,6.7,5.4,6.3,5.7,6.2,7.0,6.4,5.4,5.8,6.0,-15%
Minnesota,MN,2.4,2.2,2.1,1.4,1.8,1.4,1.8,2.1,1.6,2.4,1.8,-25%
Mississippi,MS,7.7,7.1,8.1,6.4,7.0,8.0,7.4,6.5,8.6,8.7,8.0,4%
Missouri,MO,6.3,6.5,7.7,6.4,7.0,6.1,6.5,6.1,6.6,8.3,8.8,40%
Montana,MT,1.8,1.5,2.4,2.9,2.6,2.8,2.7,2.2,3.6,3.5,3.5,94%
Nebraska,NE,2.8,3.8,3.8,2.2,3.0,3.6,2.9,3.1,2.9,3.3,2.6,-7%
Nevada,NV,9.0,7.5,6.3,5.9,5.9,5.2,4.5,5.8,6.0,6.2,7.6,-16%
New Hampshire,NH,1.0,1.1,1.0,0.8,1.0,1.3,1.1,1.7,0.9,1.1,1.3,30%
New Jersey,NJ,4.9,4.4,4.3,3.7,4.2,4.3,4.4,4.5,3.9,4.1,4.2,-14%
New Mexico,NM,6.8,8.2,7.2,8.7,6.9,7.5,5.6,6.0,4.8,5.6,6.7,-1%
New York,NY,4.8,4.2,4.3,4.0,4.5,4.0,3.5,3.3,3.1,3.1,3.2,-33%
North Carolina,NC,6.1,6.5,6.5,5.3,5.0,5.3,4.9,4.8,5.1,5.1,6.7,10%
North Dakota,ND,1.3,1.9,0.5,1.5,1.5,3.5,4.0,2.2,3.0,2.8,2.0,54%
Ohio,OH,4.7,4.5,4.7,4.5,4.1,4.4,4.3,3.9,4.0,4.3,5.6,19%
Oklahoma,OK,5.8,6.1,5.8,6.2,5.2,5.5,5.7,5.1,4.5,6.0,6.2,7%
Oregon,OR,2.3,1.9,2.2,2.2,2.4,2.1,2.4,2.0,2.0,2.5,2.8,22%
Pennsylvania,PA,5.9,5.8,5.6,5.2,5.2,5.0,5.4,4.7,4.8,5.1,5.2,-12%
Rhode Island,RI,2.6,1.8,2.8,2.9,2.8,1.3,3.2,2.9,2.4,2.7,2.7,4%
South Carolina,SC,8.3,8.0,6.8,6.3,6.1,6.8,6.9,6.2,6.4,8.1,7.4,-11%
South Dakota,SD,1.2,2.1,3.2,2.6,2.8,2.5,3.0,2.4,2.3,3.7,3.1,158%
