State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,35.9,33.4,34.7,31.9,28.2,28.5,26.9,42.3,41.3,42.0,39.4,10%
Alaska,AK,76.0,77.4,64.3,73.3,75.0,58.1,79.7,125.4,104.7,122.0,141.9,87%
Arizona,AZ,31.5,29.3,25.7,32.0,33.9,34.9,34.7,46.0,50.2,45.5,47.5,51%
Arkansas,AR,46.5,44.7,48.9,47.3,45.0,41.3,42.3,48.1,59.4,64.8,71.7,54%
California,CA,25.3,24.7,24.2,23.6,22.4,20.3,20.6,25.3,29.7,32.7,34.9,38%
Colorado,CO,43.7,41.1,42.5,44.6,43.7,44.5,40.7,55.7,56.7,59.7,64.2,47%
Connecticut,CT,18.1,18.8,19.3,18.5,16.3,19.2,25.6,26.6,21.7,21.5,21.3,18%
Delaware,DE,46.9,38.9,41.9,38.2,34.7,31.9,26.5,41.0,41.3,36.0,32.4,-31%
Florida,FL,35.8,33.7,32.6,29.7,28.6,27.7,27.2,34.6,43.0,37.3,36.9,3%
Georgia,GA,23.2,22.8,22.7,23.4,21.6,20.9,21.4,25.8,30.2,31.6,34,47%
Hawaii,HI,27.6,25.4,28.3,30.3,26.8,31.6,20.5,27.4,31.3,39.2,43.3,57%
Idaho,ID,40.0,38.5,36.2,35.7,33.5,27.4,30.0,40.6,37.3,41.9,42.7,7%
Illinois,IL,31.8,31.9,31.9,30.2,23.6,28.8,27.7,33.1,32.3,37.5,38.3,20%
Indiana,IN,29.1,27.5,27.0,25.5,27.2,27.0,25.5,32.6,33.1,36.3,37.7,30%
Iowa,IA,27.8,30.3,29.6,28.4,27.4,27.2,28.3,35.0,36.3,37.0,39.8,43%
Kansas,KS,44.8,44.3,42.5,38.9,38.8,37.8,36.5,41.3,48.6,55.5,45.1,1%
Kentucky,KY,30.8,32.6,33.0,35.0,31.8,33.5,29.0,36.7,32.6,33.7,37,20%
Louisiana,LA,36.4,32.4,27.9,30.3,27.2,27.7,25.2,35.0,29.6,36.9,38.8,7%
Maine,ME,25.7,29.7,28.5,28.5,29.3,29.6,28.0,33.7,36.5,35.7,30.9,20%
Maryland,MD,21.0,21.0,20.0,20.3,21.3,20.5,21.0,25.8,27.1,27.7,29.2,39%
Massachusetts,MA,27.1,25.3,26.7,25.8,26.7,24.7,24.7,40.6,32.3,30.5,31.2,15%
Michigan,MI,52.2,45.5,45.0,45.3,47.3,44.0,46.4,66.6,63.3,65.0,71.8,38%
Minnesota,MN,31.8,36.0,34.6,34.0,33.9,31.1,30.5,37.0,36.7,42.3,42.5,34%
Mississippi,MS,34.4,35.6,30.3,31.8,31.2,29.0,27.5,31.1,35.3,40.2,42.7,24%
