State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,153.5,159.9,157.6,132.9,99.6,102.2,104.1,96.2,96.9,94.9,96.4,-37%
Alaska,AK,90.3,85.3,94.0,93.8,83.6,79.7,86.1,84.9,85.4,103.1,114.6,27%
Arizona,AZ,149.6,151.7,149.2,122.8,108.5,109.9,112.7,101.1,92.8,93.1,101.8,-32%
Arkansas,AR,98.4,106.7,95.8,89.4,81.3,82.6,78.7,76.3,69.1,70.4,70.9,-28%
California,CA,194.7,193.0,188.8,173.4,156.0,144.0,148.6,139.9,125.5,135.0,139.6,-28%
Colorado,CO,80.7,71.0,68.1,67.4,62.3,64.6,65.4,59.8,56.7,60.9,63.7,-21%
Connecticut,CT,121.0,103.0,111.6,113.4,99.4,102.7,102.7,98.2,87.8,80.5,75.6,-38%
Delaware,DE,203.3,197.3,210.5,188.8,203.7,169.5,162.7,132.4,135.6,130.6,142.7,-30%
Florida,FL,188.8,209.1,197.9,166.7,138.7,134.4,123.7,118.7,125.2,104.3,97.9,-48%
Georgia,GA,165.6,181.7,179.2,148.6,127.7,123.8,125.6,125.0,123.0,119.9,118.4,-29%
Hawaii,HI,88.9,86.1,84.3,79.8,77.5,75.8,74.7,80.6,78.0,84.0,69.6,-22%
Idaho,ID,20.5,15.5,15.8,15.8,13.7,11.6,15.2,13.6,12.5,11.6,12.7,-38%
Illinois,IL,185.3,179.7,186.4,177.6,156.3,157.4,151.2,137.6,118.8,115.9,139.3,-25%
Indiana,IN,114.7,124.1,118.1,114.5,95.9,107.1,100.9,108.2,104.5,107.4,110.5,-4%
Iowa,IA,43.5,43.9,41.6,39.7,33.2,26.9,31.3,30.4,33.6,33.5,36.6,-16%
Kansas,KS,67.9,72.6,60.1,63.4,54.1,50.8,52.0,46.6,46.9,62.4,57.5,-15%
Kentucky,KY,86.2,95.9,93.8,84.1,86.4,84.5,80.7,73.9,75.6,74.7,75.9,-12%
Louisiana,LA,133.6,141.7,135.9,135.9,114.9,114.5,119.0,119.9,122.5,118.8,119.1,-11%
Maine,ME,29.1,26.5,25.3,30.3,31.2,27.8,31.8,25.2,22.9,23.4,20.0,-31%
Maryland,MD,256.0,236.0,234.4,210.7,191.5,177.5,172.3,169.5,159.7,164.2,171.0,-33%
Massachusetts,MA,125.0,108.6,108.8,112.6,105.0,102.7,98.6,100.2,89.5,77.8,78.8,-37%
Michigan,MI,140.7,133.2,129.6,123.7,116.3,105.2,105.6,102.1,80.9,78.6,71.7,-49%
Minnesota,MN,105.1,91.8,80.0,68.7,63.9,63.4,64.6,67.8,67.6,68.7,67.5,-36%
Mississippi,MS,107.1,98.2,102.6,100.4,93.7,83.7,76.5,80.5,81.2,76.7,80.2,-25%
Missouri,MO,129.9,121.9,125.0,124.5,102.4,104.3,96.0,90.7,92.2,104.8,107.8,-17%
Montana,MT,17.4,19.9,17.8,22.2,15.9,16.9,19.0,20.1,19.8,20.3,25.5,47%
Nebraska,NE,63.8,62.4,72.8,67.8,56.1,54.1,60.9,55.7,55.4,52.4,49.6,-22%
Nevada,NV,281.6,270.2,248.9,227.8,196.2,157.9,178.3,185.8,209.7,217.5,215.6,-23%
New Hampshire,NH,32.2,32.8,31.8,34.4,34.3,36.0,35.7,49.0,40.5,35.2,32.0,-1%
New Jersey,NJ,153.1,144.5,146.3,133.7,134.4,138.4,128.4,135.8,117.5,108.6,100.4,-34%
New Mexico,NM,107.7,117.8,109.5,93.1,78.4,82.7,88.6,86.8,100.0,119.2,131.5,22%
New York,NY,178.6,161.1,163.0,144.0,146.9,145.9,146.4,138.6,121.8,120.9,113.0,-37%
North Carolina,NC,152.2,149.5,155.4,126.1,100.8,98.9,96.3,94.9,84.6,87.9,92.0,-40%
North Dakota,ND,11.3,10.9,11.2,16.2,13.4,13.3,18.7,22.4,23.4,19.6,23.9,112%
Ohio,OH,166.8,159.2,163.0,154.1,142.8,139.1,132.0,124.2,110.0,108.1,107.8,-35%
Oklahoma,OK,87.5,93.2,101.1,90.7,89.0,86.6,84.7,78.7,78.6,76.8,80.6,-8%
Oregon,OR,72.7,76.4,69.7,64.3,62.4,57.4,61.9,61.0,52.7,53.3,55.6,-24%
Pennsylvania,PA,168.6,156.5,151.6,138.9,128.8,126.6,122.8,115.6,105.8,101.6,96.4,-43%
Rhode Island,RI,68.8,71.0,83.7,74.6,74.1,71.0,67.9,65.0,50.1,52.6,51.1,-26%
South Carolina,SC,136.5,144.0,147.3,125.7,107.7,92.2,95.0,83.2,82.7,80.3,81.3,-40%
South Dakota,SD,15.2,14.1,14.9,13.7,18.9,20.3,19.0,18.8,23.4,25.2,31.4,107%
Tennessee,TN,184.3,179.0,173.8,153.2,131.8,126.2,126.5,112.5,110.9,113.2,117.5,-36%
Texas,TX,158.5,162.2,155.2,153.5,130.6,110.6,116.6,120.2,115.7,116.3,119.6,-25%
Utah,UT,48.8,53.7,51.9,46.6,45.9,38.4,38.5,42.8,44.6,44.3,50.5,3%
Vermont,VT,17.6,12.9,14.3,17.9,11.8,13.6,17.9,11.6,11.2,16.1,17.0,-3%
Virginia,VA,101.4,99.2,95.7,79.4,70.7,67.1,57.5,55.3,51.5,53.0,57.1,-44%
Washington,WA,100.1,93.6,96.9,100.5,88.2,82.5,83.3,83.5,79.9,76.0,77.5,-23%
West Virginia,WV,46.9,47.0,49.0,50.4,44.7,49.0,45.2,35.1,35.2,41.2,39.3,-16%
Wisconsin,WI,100.2,97.7,91.1,85.8,79.2,78.2,80.7,84.2,88.0,90.7,81.4,-19%
Wyoming,WY,14.0,16.1,16.1,14.1,13.5,12.5,10.6,12.9,9.1,10.1,10.1,-28%
