State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,10467,11377,11795,13093,11673,13592,15035,13787,13745,15954,18877,80%
Alaska,AK,3460,3363,3360,3232,3379,3358,3169,3128,3243,3671,4011,16%
Arizona,AZ,19284,18658,17282,16366,16574,16515,18087,17490,16970,18235,21858,13%
Arkansas,AR,11227,10524,10082,10830,10913,10326,10095,9781,10265,11316,11982,7%
California,CA,111455,109210,104743,99681,95877,91197,94702,89029,91803,99349,104375,-6%
Colorado,CO,12547,11302,11326,11172,10683,10650,10353,9963,10325,10759,11696,-7%
Connecticut,CT,4856,4594,5723,5760,5791,5276,5408,4869,4495,4063,4579,-6%
Delaware,DE,3640,3881,3880,3585,3386,3207,3228,2904,2867,3081,3121,-14%
Florida,FL,87044,86366,82852,76112,69523,66319,63929,61054,72895,63895,59816,-31%
Georgia,GA,25824,26839,26196,24410,24048,21879,22423,20915,22052,22557,24595,-5%
Hawaii,HI,2096,2048,2036,2111,2131,2456,1976,1996,2102,2418,2769,32%
Idaho,ID,2701,2729,2668,2711,2705,2529,2567,2596,2623,2650,2895,7%
Illinois,IL,40858,40573,38818,36588,32042,30564,29618,26283,27520,28879,32065,-22%
Indiana,IN,10429,11195,11704,12102,12117,12579,14027,13882,14686,15765,16575,59%
Iowa,IA,6274,6551,6308,6315,6447,6121,6234,6323,6264,6661,6644,6%
Kansas,KS,8506,9212,8518,8277,7780,7508,7595,7181,7259,7792,7966,-6%
Kentucky,KY,5972,6859,7036,5843,5212,5097,4750,4198,4404,4668,5038,-16%
Louisiana,LA,22098,23233,21191,19855,17932,18386,15740,16319,16387,17454,18556,-16%
Maine,ME,780,793,808,778,794,848,811,912,890,921,950,22%
Maryland,MD,22011,21072,20570,20022,18909,16862,16310,16128,15133,15417,15874,-28%
Massachusetts,MA,18800,19008,20202,20836,21724,19638,18638,18106,18051,19071,18050,-4%
Michigan,MI,36588,35319,32158,32076,31727,28630,29210,27194,27519,26414,30729,-16%
Minnesota,MN,8920,8244,7626,7360,7233,6701,7207,6909,6729,7094,7217,-19%
Mississippi,MS,4350,4388,4230,4210,4089,4440,4460,4680,4592,4498,4471,3%
Missouri,MO,22161,20418,20359,20002,19268,18796,19473,18055,18482,20830,21983,-1%
Montana,MT,1947,2259,2008,1935,2189,2116,2139,1931,2532,2818,2960,52%
Nebraska,NE,3256,3664,3466,3205,3353,2906,2920,2999,3316,3283,3561,9%
Nevada,NV,10178,11037,11099,11360,11420,9957,10790,10060,10564,11965,11639,14%
New Hampshire,NH,1044,1027,1246,1249,1322,1558,1545,1492,1459,1543,1611,54%
New Jersey,NJ,15650,14622,14152,14122,13885,13608,12919,12071,11225,11414,11105,-29%
New Mexico,NM,9241,9570,9443,9338,9412,9082,8740,9382,8797,9407,10217,11%
New York,NY,45387,45094,42170,43676,43867,45568,47423,46130,45303,44546,45079,-1%
North Carolina,NC,25605,25744,25877,23304,22554,21721,22609,21513,21421,22826,24906,-3%
North Dakota,ND,540,622,761,958,1176,1315,1281,1446,1407,1298,1365,153%
Ohio,OH,15973,16132,16316,16009,15712,15283,15207,14257,14771,15695,16111,1%
Oklahoma,OK,12975,12918,13823,13374,13005,12350,12867,11583,10744,11418,12202,-6%
Oregon,OR,6403,6587,5868,6030,5960,6065,6008,5610,5592,6630,6718,5%
Pennsylvania,PA,29554,28151,27984,26139,26080,25148,24818,23719,22189,22373,23027,-22%
Rhode Island,RI,1381,1378,1436,1556,1596,1538,1616,1550,1398,1518,1513,10%
South Carolina,SC,25058,26309,24149,22962,20920,20515,19905,17838,17676,18073,18108,-28%
South Dakota,SD,876,910,1042,931,1619,1410,1914,1996,2096,2546,2813,221%
Tennessee,TN,32227,32787,31627,29940,28060,28466,30961,28378,29681,29844,31084,-4%
Texas,TX,74368,73426,76423,74018,71517,67913,67239,65292,65656,67727,72880,-2%
Utah,UT,3562,3824,3717,3683,3610,3505,3783,3784,3513,4046,4274,20%
Vermont,VT,580,557,611,575,602,635,652,546,432,492,691,19%
Virginia,VA,11628,10996,10319,9764,9529,8654,9092,9062,9400,9235,10278,-12%
Washington,WA,12779,12691,12524,12639,12458,12031,12242,11601,11627,12029,13100,3%
West Virginia,WV,3770,3702,3657,3962,4586,4483,4538,4203,4358,4729,5099,35%
Wisconsin,WI,8921,9416,9029,8431,8296,7764,10050,9278,9809,10395,10765,21%
Wyoming,WY,1013,991,960,968,856,1011,932,916,899,1054,1146,13%
