State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,16860,17309,16488,15180,8213,300,306,325,220,8967,10193,-40%
Alaska,AK,1701,1759,1716,2050,2491,2341,1547,1475,1159,1212,1006,-41%
Arizona,AZ,35470,35384,34242,35087,30349,30886,27273,30962,29670,24892,30309,-15%
Arkansas,AR,11154,9953,11513,11213,9753,8783,11083,11391,11168,12700,15736,41%
California,CA,301406,289449,268763,251740,241547,188188,194290,217520,229083,206194,219016,-27%
Colorado,CO,19513,18290,17851,16658,15294,15109,15953,12370,13381,14430,14790,-24%
Connecticut,CT,12249,14663,16132,17757,17092,13667,9651,9137,9927,7635,9349,-24%
Delaware,DE,5538,5744,5895,5752,5395,5110,5463,6250,6163,5734,4289,-23%
Florida,FL,168119,169360,159916,146056,141831,130296,127919,126137,122190,114988,114550,-32%
Georgia,GA,33922,44019,34697,39395,41312,42812,42889,44539,42619,34837,39593,17%
Hawaii,HI,2428,0,2022,2055,2078,0,892,1087,1122,2160,2574,6%
Idaho,ID,5285,5660,5514,5751,6349,6558,6848,7591,7409,6541,8031,52%
Illinois,IL,57495,55125,45612,43536,42934,38701,35715,35001,29478,24101,12958,-77%
Indiana,IN,19633,22753,22671,23203,16728,23345,18372,12470,16167,16526,18041,-8%
Iowa,IA,8512,8825,8497,8376,9031,9139,8666,9182,9115,8114,9550,12%
Kansas,KS,6523,7089,6854,6316,8122,7364,7629,8130,7677,7756,7519,15%
Kentucky,KY,12192,11883,7952,18553,18277,21383,21141,21830,21644,22106,23308,91%
Louisiana,LA,23506,22964,17959,19334,19324,14925,15748,20727,17693,17686,27529,17%
Maine,ME,5779,5721,5778,5897,5933,5627,5544,5608,5802,5947,5430,-6%
Maryland,MD,55466,55155,57288,51629,44888,41022,39733,34006,37780,26154,30692,-45%
Massachusetts,MA,17729,20626,19825,12127,12086,10849,11599,11206,10516,9761,9770,-45%
Michigan,MI,33886,33923,31775,34910,34513,31486,31823,34128,33567,34716,38780,14%
Minnesota,MN,0,18814,18196,17040,17501,17727,0,19056,19148,17342,15397,-
Mississippi,MS,16190,10289,11741,13240,11004,10862,10678,8037,8958,9010,10414,-36%
Missouri,MO,44762,32958,35990,35321,33964,35383,34943,35131,33496,34052,41674,-7%
Montana,MT,0,1566,1620,1539,1494,1790,2077,1958,2205,1961,2638,-
Nebraska,NE,10321,9816,10432,9731,10177,10423,10433,10366,11965,8589,11878,15%
Nevada,NV,13784,14444,14886,16976,16268,15562,15001,11207,12508,11594,13770,0%
New Hampshire,NH,3228,2570,3266,4020,3915,3631,3941,4270,6224,7371,8346,159%
New Jersey,NJ,54168,52773,52749,52461,49072,46377,51111,50775,52721,46376,61579,14%
New Mexico,NM,5775,6805,6113,6478,8814,8859,8044,4773,5529,7188,6924,20%
New York,NY,61748,61163,52945,60543,62519,56508,65840,61633,58782,62035,65379,6%
North Carolina,NC,35066,38343,36571,33062,33170,42225,38240,35470,34695,21487,18247,-48%
North Dakota,ND,1783,1743,1769,1851,1938,2243,2446,3345,4004,4475,5093,186%
Ohio,OH,31368,34740,30580,30904,31465,28943,26936,28612,36331,32827,32324,3%
Oklahoma,OK,20823,22319,20548,20311,19714,15931,16688,16946,17721,17771,22107,6%
Oregon,OR,17352,18664,16723,15469,15600,19262,18929,10009,11165,11152,13639,-21%
Pennsylvania,PA,54412,57305,56228,52549,55858,52483,55610,54452,57392,52281,53633,-1%
Rhode Island,RI,3688,2933,3791,4081,3782,3111,3665,2240,1913,1757,1759,-52%
South Carolina,SC,28713,30679,18224,27548,30435,26287,27174,28838,26720,25666,30020,5%
South Dakota,SD,640,1371,2395,2868,2903,3694,4372,5382,5406,7058,7912,1136%
Tennessee,TN,35455,38899,34686,35812,37512,40911,43448,46923,41493,38486,44185,25%
Texas,TX,135914,136361,136897,144329,136966,126695,133110,133711,135683,131851,140314,3%
Utah,UT,7653,9239,9242,11224,10728,5207,12710,13377,14630,14913,15111,97%
Vermont,VT,1394,1632,1137,1433,1156,1041,1390,1250,661,610,593,-57%
Virginia,VA,29273,32941,32513,29780,33666,35416,38038,39536,36988,33558,39132,34%
Washington,WA,29264,28872,23440,16561,20644,12570,12706,11346,11111,11026,11017,-62%
West Virginia,WV,4100,3928,4249,6167,6235,6798,6647,6651,5994,6187,6267,53%
Wisconsin,WI,25329,25746,25075,24446,22651,24140,26073,25582,24854,25302,28025,11%
Wyoming,WY,3160,3110,2969,2807,3103,3205,3036,3527,3459,3695,4482,42%
