State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,132667,138033,148179,133363,119428,955,794,759,647,97593,109430,-18%
Alaska,AK,27594,29086,28633,30167,30700,29095,21376,20974,18589,23332,21657,-22%
Arizona,AZ,192821,203009,214624,213032,179493,175023,155519,165735,151959,138813,154344,-20%
Arkansas,AR,74963,69508,95160,83759,79705,74538,94979,94628,78032,81245,82042,9%
California,CA,650693,672511,714504,684411,612349,552087,592183,536795,518119,510966,458498,-30%
Colorado,CO,177269,158794,153812,147551,150554,148988,153360,171646,174978,160638,159560,-10%
Connecticut,CT,55439,69829,68066,77286,71972,69768,70166,58511,66818,52925,62996,14%
Delaware,DE,20728,20896,21163,20585,17581,17959,18350,15239,14365,13672,15586,-25%
Florida,FL,602368,600906,627304,562835,578574,520400,537057,488304,461768,389263,358850,-40%
Georgia,GA,133178,193283,150584,182800,193745,195791,180440,172218,162497,117883,115820,-13%
Hawaii,HI,38059,0,42932,41144,36144,0,5809,5732,5816,27669,31386,-18%
Idaho,ID,47985,54547,52392,52880,44888,41549,41761,38277,36109,31631,24666,-49%
Illinois,IL,52312,50167,49126,39679,33141,29598,28939,27890,29616,25677,25414,-51%
Indiana,IN,104369,134520,136489,133971,80199,109303,86330,76345,80948,88624,80195,-23%
Iowa,IA,76623,79728,81440,75238,70692,68374,67183,63517,63334,55014,58953,-23%
Kansas,KS,49208,51215,56966,52950,53529,53803,52692,52568,44731,38518,31938,-35%
Kentucky,KY,38638,30042,11552,77359,91453,109805,111911,108359,108732,126846,142264,268%
Louisiana,LA,89969,96687,75623,68777,72310,60923,61916,71450,60018,52371,93135,4%
Maine,ME,38051,37839,36444,35888,33970,31445,30934,29775,28163,26056,26171,-31%
Maryland,MD,139422,139443,134441,131906,121238,109070,97844,72982,86672,76594,85795,-38%
Massachusetts,MA,68128,76043,78987,90912,91086,85741,84715,82719,76580,71407,75011,10%
Michigan,MI,207531,194256,165790,174038,158329,142196,144217,139953,140200,135524,139882,-33%
Minnesota,MN,0,144117,133118,121442,112013,107052,0,86402,79636,81017,74141,-
Mississippi,MS,75001,54719,71743,81687,73900,67309,60986,46368,49974,44172,45864,-39%
Missouri,MO,224711,184904,202365,196654,170695,172437,167120,157216,142330,110264,112934,-50%
Montana,MT,0,20157,23669,22781,17591,21151,22652,20551,19483,16820,19277,-
Nebraska,NE,57412,53803,56868,52555,50658,47871,43826,37332,36810,21579,32518,-43%
Nevada,NV,115323,117323,112565,112845,97565,90739,90331,79954,75811,71675,79591,-31%
New Hampshire,NH,36167,30624,33313,36274,33643,28425,32129,29921,27950,24499,25741,-29%
New Jersey,NJ,234178,232743,232316,234079,207432,194709,181874,159441,157604,136620,135077,-42%
New Mexico,NM,52238,54789,53807,68632,76403,73370,65746,42049,56410,58454,49233,-6%
New York,NY,157003,153887,132558,151658,143508,125928,129699,104646,83033,82483,78588,-50%
North Carolina,NC,294483,255239,261503,246911,280216,318835,274379,244556,222978,175549,146546,-50%
North Dakota,ND,22500,21035,20975,19917,17776,18095,20545,20420,18897,19513,20325,-10%
Ohio,OH,136793,146952,145684,158368,163709,153377,131696,124946,126878,120866,108946,-20%
Oklahoma,OK,84599,96255,97385,93376,90266,79333,72025,68114,64270,52535,47678,-44%
Oregon,OR,63278,78844,82161,72758,64521,65946,60412,23211,32383,38646,80636,27%
Pennsylvania,PA,270789,272246,284623,260356,258080,231747,236566,221420,218044,197745,174278,-36%
Rhode Island,RI,25110,17937,22943,21173,23598,19560,21322,21680,22482,20029,20199,-20%
South Carolina,SC,98942,116135,115529,108487,99551,82486,80580,85006,70962,69623,67191,-32%
South Dakota,SD,11492,13505,19684,18368,16944,17514,21987,20216,20132,29104,26545,131%
Tennessee,TN,169619,177029,187277,178561,197253,243154,208490,214293,214225,199669,196871,16%
Texas,TX,662271,661661,702835,707954,673309,614085,582815,506144,426564,395553,413350,-38%
Utah,UT,80545,84197,74764,90498,80915,28066,70218,84318,67519,63793,54470,-32%
Vermont,VT,9193,11209,9089,10078,7065,6917,7950,8419,8113,8089,5513,-40%
Virginia,VA,186974,211784,225593,224720,242180,231680,218923,197887,184080,162833,155454,-17%
Washington,WA,145238,147243,142818,126817,136432,73953,108238,123286,118001,123284,111170,-23%
West Virginia,WV,15107,33299,26844,27721,26051,28124,24855,27189,22421,19971,19477,29%
Wisconsin,WI,317715,320605,311343,273084,222861,226240,224914,209409,187495,175983,166348,-48%
Wyoming,WY,29546,30264,31335,29485,25604,24336,21365,21001,18731,16574,16172,-45%
