State,Abbrev,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2006-16 Percent Change
Alabama,AL,19557,20732,21111,21179,18056,20174,21693,20826,20727,22952,25886,32%
Alaska,AK,4610,4519,4474,4421,4537,4383,4412,4708,4684,5392,5966,29%
Arizona,AZ,30916,30600,29059,26929,26085,26311,28108,27599,26916,28012,32583,5%
Arkansas,AR,15506,15007,14374,14959,14735,14129,13835,13621,14243,15526,16461,6%
California,CA,194120,191025,185173,174459,164133,154944,160944,154129,153709,166883,174796,-10%
Colorado,CO,18616,16906,16946,16976,16133,16383,16023,16226,16554,17515,18983,2%
Connecticut,CT,9841,8965,10427,10508,10057,9767,10160,9440,8522,7845,8123,-17%
Delaware,DE,5817,5960,6141,5635,5575,5075,5020,4549,4576,4720,4844,-17%
Florida,FL,128795,131880,126265,113541,101969,98199,94087,91986,107521,93626,88700,-31%
Georgia,GA,44106,47075,46384,41880,39072,36634,37591,36541,38097,38643,40990,-7%
Hawaii,HI,3615,3501,3512,3559,3574,3949,3330,3533,3680,4201,4417,22%
Idaho,ID,3625,3589,3483,3530,3465,3184,3318,3498,3468,3568,3876,7%
Illinois,IL,69498,68528,67780,64185,55835,55247,53403,48974,47663,49354,55854,-20%
Indiana,IN,19876,21165,21283,21404,20389,21626,22602,23487,24099,25653,26845,35%
Iowa,IA,8455,8805,8520,8397,8333,7826,8112,8388,8497,8936,9110,8%
Kansas,KS,11748,12566,11505,11278,10531,10162,10232,9838,10123,11353,11060,-6%
Kentucky,KY,11063,12513,12646,11159,10528,10406,9752,9222,9340,9676,10308,-7%
Louisiana,LA,29919,31317,28944,27849,24886,25406,22868,23984,23934,25208,26502,-11%
Maine,ME,1526,1554,1547,1579,1621,1636,1631,1718,1700,1729,1648,8%
Maryland,MD,38110,36062,35393,33623,31620,28797,28055,28089,26661,27462,28400,-25%
Massachusetts,MA,28775,27832,29174,30136,30553,28219,26953,27667,26399,26562,25677,-11%
Michigan,MI,56778,53988,50166,49547,48460,43983,44922,44523,42348,41231,45572,-20%
Minnesota,MN,16123,15003,13717,12842,12515,11825,12419,12705,12505,13319,13394,-17%
Mississippi,MS,8691,8502,8373,8304,8003,8036,7786,8214,8338,8254,8383,-4%
Missouri,MO,31880,29682,29819,29444,27252,26889,27155,26197,26856,30261,31644,-1%
Montana,MT,2397,2754,2497,2473,2693,2670,2736,2567,3313,3611,3840,60%
Nebraska,NE,4983,5367,5416,5059,5104,4665,4814,4897,5275,5212,5550,11%
Nevada,NV,18508,19257,18837,18559,17841,15309,16763,16824,18045,20118,19936,8%
New Hampshire,NH,1824,1807,2069,2114,2198,2478,2481,2849,2602,2652,2637,45%
New Jersey,NJ,30672,28601,28351,27121,27055,27203,25727,25674,23346,22879,21914,-29%
New Mexico,NM,12572,13085,12896,12440,12126,11817,11660,12782,12459,13681,14619,16%
New York,NY,83966,79915,77585,75176,75977,77490,79610,77372,75398,75165,74285,-12%
North Carolina,NC,42124,42262,43099,37929,34653,33774,34464,33700,32767,34852,37769,-10%
North Dakota,ND,813,911,1068,1298,1513,1689,1712,1954,1960,1812,1903,134%
Ohio,OH,40209,39360,39997,38332,36366,35484,34595,33121,33030,33898,34877,-13%
Oklahoma,OK,17803,18072,19184,18474,17987,17243,17902,16989,15744,16506,17648,-1%
Oregon,OR,10373,10777,9747,9744,9655,9586,9653,9984,9224,10468,10830,4%
Pennsylvania,PA,54665,51782,51036,47965,46514,45240,44503,42849,40164,40339,40447,-26%
Rhode Island,RI,2429,2404,2621,2660,2701,2602,2651,2705,2313,2562,2524,4%
South Carolina,SC,33078,34746,32691,30596,27648,26760,26397,24278,24052,24700,24896,-25%
South Dakota,SD,1340,1347,1620,1508,2186,2094,2682,2674,2786,3289,3621,170%
Tennessee,TN,45907,46380,44897,42041,38921,38944,41550,38364,39848,40400,42097,-8%
Texas,TX,121378,122054,123564,121668,113231,104873,106476,107998,109414,113227,121042,0%
Utah,UT,5722,6210,6070,5924,5879,5494,5876,6498,6346,7071,7407,29%
Vermont,VT,852,772,844,817,815,847,893,759,622,739,989,16%
Virginia,VA,21568,20798,19882,17879,17087,15923,15564,16205,16340,16399,18302,-15%
Washington,WA,22120,21546,21691,22056,21101,20121,20386,20153,20136,20394,22023,0%
West Virginia,WV,5087,4987,4968,5396,5830,5861,5869,5568,5588,6231,6557,29%
Wisconsin,WI,15783,16296,15421,14533,14142,13532,16064,15961,16714,17647,17679,12%
Wyoming,WY,1234,1251,1236,1242,1104,1246,1161,1195,1142,1302,1430,16%
